Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
0 0 2 1 0 0 0 0 97 3 0 0 1928 14008 0 578 2 1.30 4.55 8.97 4 0 131753796 102545132 29208664 10124 1780 99542572 1359736 48372 596100 1099664 0 4194300 90556 4103744 0 0 0 0 0 8075244 0 0 158159 0 0 0 0 186972 0 0 0 0 0 0 0 0 0
1 0 2 1 0 0 0 0 97 3 0 0 2213 14514 0 578 3 1.30 4.55 8.97 4 0 131753796 102532296 29221500 10124 1780 99542572 1359736 48372 580460 1084304 0 4194300 90556 4103744 0 0 0 0 0 8075244 0 0 149490 0 0 0 0 186972 0 0 0 0 0 0 0 0 0
2 0 2 2 0 0 0 0 97 3 0 0 2527 14756 0 578 3 1.30 4.55 8.97 3 0 131753796 102531644 29222152 10124 1780 99542572 1359736 48472 580668 1084304 0 4194300 90556 4103744 0 0 4 0 0 8075244 0 177 156538 0 0 0 0 186972 0 60 60 0 210 210 0 0 0
3 0 2 1 0 0 0 0 97 3 0 0 1984 14717 0 578 4 1.36 4.51 8.93 2 0 131753796 102530464 29223332 10124 1780 99542572 1359736 48476 580980 1084304 0 4194300 90556 4103744 0 0 4 0 0 8075260 0 0 158166 0 0 0 0 186972 0 0 0 0 0 0 0 0 0
4 0 2 2 0 0 0 0 97 3 0 0 1692 15046 0 578 3 1.36 4.51 8.93 3 0 131753796 102530492 29223304 10124 1780 99542572 1359736 48476 581936 1084304 0 4194300 90556 4103744 0 0 4 0 0 8075260 0 0 153326 0 0 0 0 186972 0 0 0 0 0 0 0 0 0
5 0 2 1 0 0 0 0 97 3 0 0 1531 14643 0 578 3 1.36 4.51 8.93 3 0 131753796 102530984 29222812 10124 1780 99542572 1359720 48476 581084 1084304 0 4194300 90556 4103744 0 0 4 0 0 8075260 0 25 155973 0 0 0 0 186956 0 5 5 0 24 24 0 0 0
6 0 2 1 0 0 0 0 97 3 0 0 1653 14909 0 578 2 1.36 4.51 8.93 3 0 131753796 102529952 29223844 10124 1780 99542628 1359780 48476 580744 1084304 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 155852 0 0 0 0 186976 0 0 0 0 0 0 0 0 0
7 0 2 1 0 0 0 0 97 3 0 0 1482 14279 0 578 2 1.36 4.51 8.93 2 0 131753796 102528824 29224972 10124 1780 99542628 1359780 48280 581152 1084304 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 28 147095 0 0 0 0 186976 0 7 7 0 28 28 0 0 0
8 0 2 2 0 0 0 0 97 3 0 0 1698 15017 0 578 3 1.33 4.45 8.89 4 0 131753796 102526840 29226956 10124 1780 99542628 1359780 48280 580432 1084304 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 153180 0 0 0 0 186976 0 0 0 0 0 0 0 0 0
9 0 2 2 0 0 0 0 97 3 0 0 1565 14627 0 578 2 1.33 4.45 8.89 2 0 131753796 102545648 29208148 10124 1780 99542628 1359796 48280 600404 1105808 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 152227 0 0 0 0 186992 0 0 0 0 0 0 0 0 0
10 0 2 2 0 0 0 0 97 3 0 0 1682 14096 0 578 3 1.33 4.45 8.89 5 0 131753796 102551336 29202460 10124 1780 99542628 1359780 48280 607660 1112976 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 152260 0 0 0 0 186976 0 0 0 0 0 0 0 0 0
11 0 2 2 0 0 0 0 97 3 0 0 1477 13760 0 578 3 1.33 4.45 8.89 4 0 131753796 102525864 29227932 10124 1780 99542628 1359780 48280 581164 1084304 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 144624 0 0 0 0 186976 0 0 0 0 0 0 0 0 0
12 0 2 2 0 0 0 0 97 3 0 0 1664 14673 0 578 3 1.33 4.45 8.89 2 0 131753796 102544076 29209720 10124 1780 99542628 1359780 48280 603332 1106832 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 155906 0 0 0 0 186976 0 0 0 0 0 0 0 0 0
13 0 2 2 0 0 0 0 97 3 0 0 1853 14647 0 578 2 1.38 4.41 8.86 3 0 131753796 102526108 29227688 10124 1780 99542628 1359780 48280 581612 1084304 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 154266 0 0 0 0 186976 0 0 0 0 0 0 0 0 0
14 0 2 2 0 0 0 0 97 3 0 0 1574 14497 0 578 2 1.38 4.41 8.86 3 0 131753796 102527684 29226112 10124 1780 99542628 1359780 48280 583328 1088400 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 154097 0 0 0 0 186976 0 0 0 0 0 0 0 0 0
15 0 2 2 0 0 0 0 97 3 0 0 1562 14400 0 578 2 1.38 4.41 8.86 4 0 131753796 102531608 29222188 10124 1780 99542628 1359780 48280 588980 1094544 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 151590 0 0 0 0 186976 0 0 0 0 0 0 0 0 0
16 0 2 2 0 0 0 0 97 3 0 0 1808 14751 0 578 4 1.38 4.41 8.86 2 0 131753796 102524600 29229196 10124 1780 99542628 1359832 48208 578664 1084304 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 153822 0 0 0 0 186988 0 0 0 0 0 0 0 0 0
17 0 2 2 0 0 0 0 97 3 0 0 1620 15006 0 578 2 1.38 4.41 8.86 3 0 131753796 102541120 29212676 10124 1780 99542628 1359832 48208 597548 1103760 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 28 157503 0 0 0 0 186988 0 7 7 0 28 28 0 0 0
18 0 2 1 0 0 0 0 97 3 0 0 1617 14150 0 578 2 1.35 4.36 8.81 3 0 131753796 102527960 29225836 10124 1780 99542628 1359824 48208 587844 1091472 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 155710 0 0 0 0 186980 0 0 0 0 0 0 0 0 0
19 0 2 2 0 0 0 0 97 3 0 0 1589 14530 0 578 3 1.35 4.36 8.81 4 0 131753796 102533420 29220376 10124 1780 99542628 1359824 48208 592428 1098640 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 163131 0 0 0 0 186980 0 0 0 0 0 0 0 0 0
20 0 2 2 0 0 0 0 97 3 0 0 1596 14791 0 578 5 1.35 4.36 8.81 3 0 131753796 102521440 29232356 10124 1780 99542628 1359824 48208 579940 1084304 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 168378 0 0 0 0 186980 0 0 0 0 0 0 0 0 0
21 0 2 2 0 0 0 0 97 3 0 0 1562 14434 0 578 2 1.35 4.36 8.81 3 0 131753796 102546880 29206916 10124 1780 99542628 1359832 48208 607408 1111952 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 162394 0 0 0 0 186988 0 0 0 0 0 0 0 0 0
22 0 2 2 0 0 0 0 97 3 0 0 1588 14413 0 578 2 1.35 4.36 8.81 3 0 131753796 102536552 29217244 10124 1780 99542628 1359832 48208 596976 1101712 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 158406 0 0 0 0 186988 0 0 0 0 0 0 0 0 0
23 0 2 2 0 0 0 0 97 3 0 0 1574 13759 0 578 2 1.40 4.32 8.78 3 0 131753796 102540196 29213600 10124 1780 99542628 1359832 48208 599776 1107856 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 155480 0 0 0 0 186988 0 0 0 0 0 0 0 0 0
24 0 2 2 0 0 0 0 97 3 0 0 1764 14592 0 578 3 1.40 4.32 8.78 2 0 131753796 102545504 29208292 10124 1780 99542628 1359824 48208 605228 1109904 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 161225 0 0 0 0 186980 0 0 0 0 0 0 0 0 0
25 0 2 2 0 0 0 0 97 3 0 0 1566 14419 0 578 2 1.40 4.32 8.78 4 0 131753796 102545152 29208644 10124 1780 99542628 1359824 48208 606304 1112976 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 160258 0 0 0 0 186980 0 0 0 0 0 0 0 0 0
26 0 2 2 0 0 0 0 97 3 0 0 1577 14396 0 578 2 1.40 4.32 8.78 2 0 131753796 102525256 29228540 10124 1780 99542628 1359868 48208 585816 1090448 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 156092 0 0 0 0 186984 0 0 0 0 0 0 0 0 0
27 0 2 2 0 0 0 0 97 3 0 0 1586 14782 0 578 3 1.40 4.32 8.78 3 0 131753796 102539836 29213960 10124 1780 99542628 1359868 48208 598864 1105808 0 4194300 90556 4103744 0 0 60 0 0 8075276 0 0 161832 0 0 0 0 186984 0 0 0 0 0 0 0 0 0
